,계,남,여
계,"940,064","465,407","474,657"
0~4세,"28,891","14,666","14,225"
0 세,"4,852","2,430","2,422"
1 세,"5,446","2,755","2,691"
2 세,"5,645","2,840","2,805"
3 세,"6,149","3,184","2,965"
4 세,"6,799","3,457","3,342"
5~9세,"39,944","20,583","19,361"
5 세,"7,655","3,921","3,734"
6 세,"7,693","3,881","3,812"
7 세,"7,754","3,941","3,813"
8 세,"8,468","4,465","4,003"
9 세,"8,374","4,375","3,999"
10~14세,"42,442","21,706","20,736"
10 세,"8,521","4,349","4,172"
11 세,"8,065","4,152","3,913"
12 세,"8,521","4,337","4,184"
13 세,"9,045","4,640","4,405"
14 세,"8,290","4,228","4,062"
15~19세,"45,397","23,289","22,108"
15 세,"8,013","4,075","3,938"
16 세,"9,032","4,653","4,379"
17 세,"9,261","4,784","4,477"
18 세,"9,020","4,616","4,404"
19 세,"10,071","5,161","4,910"
20~24세,"59,563","30,147","29,416"
20 세,"11,566","5,898","5,668"
21 세,"11,126","5,581","5,545"
22 세,"11,582","5,956","5,626"
23 세,"12,341","6,197","6,144"
24 세,"12,948","6,515","6,433"
25~29세,"72,715","37,688","35,027"
25 세,"13,809","6,994","6,815"
26 세,"14,346","7,409","6,937"
27 세,"14,560","7,699","6,861"
28 세,"15,094","7,882","7,212"
29 세,"14,906","7,704","7,202"
30~34세,"65,513","33,626","31,887"
30 세,"13,397","6,973","6,424"
31 세,"13,437","6,873","6,564"
32 세,"13,096","6,746","6,350"
33 세,"12,873","6,534","6,339"
34 세,"12,710","6,500","6,210"
35~39세,"71,495","35,972","35,523"
35 세,"13,136","6,651","6,485"
36 세,"13,007","6,539","6,468"
37 세,"14,337","7,240","7,097"
38 세,"15,313","7,773","7,540"
39 세,"15,702","7,769","7,933"
40~44세,"74,190","36,487","37,703"
40 세,"15,651","7,735","7,916"
41 세,"15,699","7,633","8,066"
42 세,"13,515","6,653","6,862"
43 세,"14,737","7,191","7,546"
44 세,"14,588","7,275","7,313"
45~49세,"82,975","41,016","41,959"
45 세,"14,797","7,287","7,510"
46 세,"16,000","7,884","8,116"
47 세,"16,964","8,175","8,789"
48 세,"17,090","8,504","8,586"
49 세,"18,124","9,166","8,958"
50~54세,"81,189","40,833","40,356"
50 세,"17,709","9,058","8,651"
51 세,"17,173","8,539","8,634"
52 세,"16,612","8,248","8,364"
53 세,"15,525","7,583","7,942"
54 세,"14,170","7,405","6,765"
55~59세,"74,603","36,941","37,662"
55 세,"15,042","7,441","7,601"
56 세,"14,784","7,387","7,397"
57 세,"14,123","7,061","7,062"
58 세,"14,969","7,480","7,489"
59 세,"15,685","7,572","8,113"
60~64세,"67,926","33,656","34,270"
60 세,"15,703","7,744","7,959"
61 세,"14,321","7,029","7,292"
62 세,"13,352","6,704","6,648"
63 세,"12,961","6,522","6,439"
64 세,"11,589","5,657","5,932"
65~69세,"45,691","21,996","23,695"
65 세,"11,774","5,698","6,076"
66 세,"9,960","4,879","5,081"
67 세,"8,540","4,046","4,494"
68 세,"9,250","4,485","4,765"
69 세,"6,167","2,888","3,279"
70~74세,"33,376","15,436","17,940"
70 세,"6,924","3,311","3,613"
71 세,"6,950","3,242","3,708"
72 세,"6,877","3,182","3,695"
73 세,"7,033","3,208","3,825"
74 세,"5,592","2,493","3,099"
75~79세,"24,572","10,955","13,617"
75 세,"4,940","2,230","2,710"
76 세,"4,902","2,206","2,696"
77 세,"4,810","2,112","2,698"
78 세,"5,468","2,420","3,048"
79 세,"4,452","1,987","2,465"
80~84세,"16,429","6,548","9,881"
80 세,"3,837","1,580","2,257"
81 세,"3,717","1,514","2,203"
82 세,"3,298","1,331","1,967"
83 세,"2,934","1,123","1,811"
84 세,"2,643","1,000","1,643"
85~89세,"8,490","2,681","5,809"
85 세,"2,359",822,"1,537"
86 세,"2,014",661,"1,353"
87 세,"1,569",480,"1,089"
88 세,"1,401",394,"1,007"
89 세,"1,147",324,823
90~94세,"3,300",858,"2,442"
90 세,980,261,719
91 세,849,233,616
92 세,649,165,484
93 세,494,125,369
94 세,328,74,254
95~99세,868,189,679
95 세,276,37,239
96 세,188,49,139
97 세,175,44,131
98 세,135,30,105
99 세,94,29,65
100세이상,495,134,361
