,계,남,여
계,"922,518","456,882","465,636"
0~4세,"26,077","13,275","12,802"
0 세,"4,751","2,477","2,274"
1 세,"4,953","2,529","2,424"
2 세,"4,991","2,504","2,487"
3 세,"5,571","2,793","2,778"
4 세,"5,811","2,972","2,839"
5~9세,"36,542","18,666","17,876"
5 세,"6,235","3,215","3,020"
6 세,"6,983","3,541","3,442"
7 세,"7,866","4,034","3,832"
8 세,"7,643","3,873","3,770"
9 세,"7,815","4,003","3,812"
10~14세,"41,902","21,499","20,403"
10 세,"8,510","4,449","4,061"
11 세,"8,364","4,317","4,047"
12 세,"8,612","4,369","4,243"
13 세,"8,023","4,101","3,922"
14 세,"8,393","4,263","4,130"
15~19세,"42,818","21,914","20,904"
15 세,"8,946","4,572","4,374"
16 세,"8,137","4,148","3,989"
17 세,"7,868","3,994","3,874"
18 세,"8,844","4,526","4,318"
19 세,"9,023","4,674","4,349"
20~24세,"52,927","26,759","26,168"
20 세,"8,716","4,444","4,272"
21 세,"9,808","4,936","4,872"
22 세,"11,452","5,818","5,634"
23 세,"11,139","5,561","5,578"
24 세,"11,812","6,000","5,812"
25~29세,"68,279","35,456","32,823"
25 세,"12,711","6,394","6,317"
26 세,"13,141","6,680","6,461"
27 세,"13,865","7,211","6,654"
28 세,"14,192","7,506","6,686"
29 세,"14,370","7,665","6,705"
30~34세,"68,561","35,581","32,980"
30 세,"14,817","7,747","7,070"
31 세,"14,499","7,491","7,008"
32 세,"13,093","6,882","6,211"
33 세,"13,134","6,726","6,408"
34 세,"13,018","6,735","6,283"
35~39세,"65,241","32,956","32,285"
35 세,"12,668","6,395","6,273"
36 세,"12,447","6,347","6,100"
37 세,"12,955","6,567","6,388"
38 세,"12,950","6,504","6,446"
39 세,"14,221","7,143","7,078"
40~44세,"74,881","37,069","37,812"
40 세,"15,203","7,685","7,518"
41 세,"15,527","7,669","7,858"
42 세,"15,493","7,666","7,827"
43 세,"15,456","7,530","7,926"
44 세,"13,202","6,519","6,683"
45~49세,"75,217","36,951","38,266"
45 세,"14,446","7,104","7,342"
46 세,"14,271","7,087","7,184"
47 세,"14,506","7,150","7,356"
48 세,"15,606","7,707","7,899"
49 세,"16,388","7,903","8,485"
50~54세,"83,621","41,863","41,758"
50 세,"16,519","8,215","8,304"
51 세,"17,556","8,827","8,729"
52 세,"17,056","8,690","8,366"
53 세,"16,524","8,223","8,301"
54 세,"15,966","7,908","8,058"
55~59세,"70,738","35,285","35,453"
55 세,"14,924","7,299","7,625"
56 세,"13,590","7,077","6,513"
57 세,"14,410","7,064","7,346"
58 세,"14,222","7,064","7,158"
59 세,"13,592","6,781","6,811"
60~64세,"70,914","34,759","36,155"
60 세,"14,364","7,129","7,235"
61 세,"15,048","7,235","7,813"
62 세,"14,981","7,332","7,649"
63 세,"13,753","6,696","7,057"
64 세,"12,768","6,367","6,401"
65~69세,"52,539","25,538","27,001"
65 세,"12,432","6,215","6,217"
66 세,"11,136","5,420","5,716"
67 세,"11,242","5,405","5,837"
68 세,"9,532","4,633","4,899"
69 세,"8,197","3,865","4,332"
70~74세,"34,312","16,073","18,239"
70 세,"8,796","4,210","4,586"
71 세,"5,848","2,735","3,113"
72 세,"6,559","3,104","3,455"
73 세,"6,588","3,032","3,556"
74 세,"6,521","2,992","3,529"
75~79세,"25,436","11,209","14,227"
75 세,"6,600","2,971","3,629"
76 세,"5,259","2,314","2,945"
77 세,"4,619","2,048","2,571"
78 세,"4,514","1,974","2,540"
79 세,"4,444","1,902","2,542"
80~84세,"18,593","7,707","10,886"
80 세,"4,986","2,173","2,813"
81 세,"4,052","1,754","2,298"
82 세,"3,401","1,376","2,025"
83 세,"3,277","1,292","1,985"
84 세,"2,877","1,112","1,765"
85~89세,"9,506","3,222","6,284"
85 세,"2,485",907,"1,578"
86 세,"2,218",796,"1,422"
87 세,"1,934",646,"1,288"
88 세,"1,634",522,"1,112"
89 세,"1,235",351,884
90~94세,"3,507",909,"2,598"
90 세,"1,048",280,768
91 세,830,228,602
92 세,675,164,511
93 세,564,143,421
94 세,390,94,296
95~99세,774,155,619
95 세,309,66,243
96 세,165,39,126
97 세,144,20,124
98 세,83,17,66
99 세,73,13,60
100세이상,133,36,97
