,계,남,여
계,"930,948","461,131","469,817"
0~4세,"27,075","13,751","13,324"
0 세,"4,749","2,413","2,336"
1 세,"4,985","2,481","2,504"
2 세,"5,461","2,759","2,702"
3 세,"5,707","2,908","2,799"
4 세,"6,173","3,190","2,983"
5~9세,"38,598","19,790","18,808"
5 세,"6,918","3,525","3,393"
6 세,"7,809","3,975","3,834"
7 세,"7,628","3,870","3,758"
8 세,"7,782","3,965","3,817"
9 세,"8,461","4,455","4,006"
10~14세,"42,426","21,724","20,702"
10 세,"8,361","4,320","4,041"
11 세,"8,553","4,360","4,193"
12 세,"8,076","4,149","3,927"
13 세,"8,436","4,278","4,158"
14 세,"9,000","4,617","4,383"
15~19세,"43,128","22,132","20,996"
15 세,"8,214","4,213","4,001"
16 세,"7,938","4,034","3,904"
17 세,"8,926","4,579","4,347"
18 세,"9,188","4,759","4,429"
19 세,"8,862","4,547","4,315"
20~24세,"56,877","28,722","28,155"
20 세,"9,976","5,046","4,930"
21 세,"11,503","5,845","5,658"
22 세,"11,154","5,621","5,533"
23 세,"11,672","5,919","5,753"
24 세,"12,572","6,291","6,281"
25~29세,"70,643","36,696","33,947"
25 세,"13,168","6,647","6,521"
26 세,"13,828","7,095","6,733"
27 세,"14,305","7,485","6,820"
28 세,"14,440","7,682","6,758"
29 세,"14,902","7,787","7,115"
30~34세,"67,081","34,561","32,520"
30 세,"14,720","7,610","7,110"
31 세,"13,146","6,881","6,265"
32 세,"13,352","6,842","6,510"
33 세,"13,105","6,764","6,341"
34 세,"12,758","6,464","6,294"
35~39세,"68,083","34,474","33,609"
35 세,"12,612","6,423","6,189"
36 세,"13,040","6,609","6,431"
37 세,"13,046","6,574","6,472"
38 세,"14,166","7,145","7,021"
39 세,"15,219","7,723","7,496"
40~44세,"74,697","36,741","37,956"
40 세,"15,565","7,647","7,918"
41 세,"15,596","7,726","7,870"
42 세,"15,558","7,620","7,938"
43 세,"13,378","6,591","6,787"
44 세,"14,600","7,157","7,443"
45~49세,"78,379","38,593","39,786"
45 세,"14,427","7,172","7,255"
46 세,"14,691","7,260","7,431"
47 세,"15,758","7,757","8,001"
48 세,"16,700","8,057","8,643"
49 세,"16,803","8,347","8,456"
50~54세,"83,732","41,876","41,856"
50 세,"17,925","9,045","8,880"
51 세,"17,361","8,869","8,492"
52 세,"16,891","8,400","8,491"
53 세,"16,300","8,109","8,191"
54 세,"15,255","7,453","7,802"
55~59세,"71,621","35,934","35,687"
55 세,"13,853","7,215","6,638"
56 세,"14,754","7,256","7,498"
57 세,"14,498","7,229","7,269"
58 세,"13,866","6,927","6,939"
59 세,"14,650","7,307","7,343"
60~64세,"70,517","34,763","35,754"
60 세,"15,409","7,420","7,989"
61 세,"15,349","7,549","7,800"
62 세,"14,035","6,873","7,162"
63 세,"13,061","6,556","6,505"
64 세,"12,663","6,365","6,298"
65~69세,"49,862","24,097","25,765"
65 세,"11,333","5,529","5,804"
66 세,"11,491","5,533","5,958"
67 세,"9,697","4,747","4,950"
68 세,"8,339","3,953","4,386"
69 세,"9,002","4,335","4,667"
70~74세,"32,954","15,317","17,637"
70 세,"5,998","2,796","3,202"
71 세,"6,723","3,216","3,507"
72 세,"6,746","3,130","3,616"
73 세,"6,692","3,081","3,611"
74 세,"6,795","3,094","3,701"
75~79세,"24,672","10,895","13,777"
75 세,"5,408","2,401","3,007"
76 세,"4,757","2,137","2,620"
77 세,"4,694","2,083","2,611"
78 세,"4,594","1,982","2,612"
79 세,"5,219","2,292","2,927"
80~84세,"17,160","6,964","10,196"
80 세,"4,248","1,875","2,373"
81 세,"3,628","1,474","2,154"
82 세,"3,500","1,398","2,102"
83 세,"3,094","1,218","1,876"
84 세,"2,690",999,"1,691"
85~89세,"9,083","3,006","6,077"
85 세,"2,422",896,"1,526"
86 세,"2,196",749,"1,447"
87 세,"1,828",600,"1,228"
88 세,"1,412",421,991
89 세,"1,225",340,885
90~94세,"3,468",912,"2,556"
90 세,983,275,708
91 세,837,223,614
92 세,735,196,539
93 세,521,131,390
94 세,392,87,305
95~99세,760,153,607
95 세,232,53,179
96 세,197,25,172
97 세,127,29,98
98 세,121,27,94
99 세,83,19,64
100세이상,132,30,102
