,계,남,여
계,"942,724","466,644","476,080"
0~4세,"31,551","16,103","15,448"
0 세,"5,391","2,735","2,656"
1 세,"5,690","2,875","2,815"
2 세,"6,063","3,143","2,920"
3 세,"6,819","3,468","3,351"
4 세,"7,588","3,882","3,706"
5~9세,"40,454","20,799","19,655"
5 세,"7,562","3,782","3,780"
6 세,"7,753","3,955","3,798"
7 세,"8,393","4,420","3,973"
8 세,"8,322","4,346","3,976"
9 세,"8,424","4,296","4,128"
10~14세,"41,827","21,457","20,370"
10 세,"8,014","4,131","3,883"
11 세,"8,447","4,296","4,151"
12 세,"9,018","4,657","4,361"
13 세,"8,337","4,266","4,071"
14 세,"8,011","4,107","3,904"
15~19세,"49,432","25,390","24,042"
15 세,"9,097","4,679","4,418"
16 세,"9,282","4,808","4,474"
17 세,"9,089","4,657","4,432"
18 세,"10,261","5,281","4,980"
19 세,"11,703","5,965","5,738"
20~24세,"60,804","30,936","29,868"
20 세,"11,164","5,647","5,517"
21 세,"11,534","5,961","5,573"
22 세,"12,113","6,174","5,939"
23 세,"12,560","6,382","6,178"
24 세,"13,433","6,772","6,661"
25~29세,"71,583","36,980","34,603"
25 세,"14,138","7,172","6,966"
26 세,"14,279","7,503","6,776"
27 세,"14,963","7,766","7,197"
28 세,"14,806","7,600","7,206"
29 세,"13,397","6,939","6,458"
30~34세,"65,460","33,357","32,103"
30 세,"13,476","6,880","6,596"
31 세,"13,112","6,735","6,377"
32 세,"12,904","6,561","6,343"
33 세,"12,716","6,475","6,241"
34 세,"13,252","6,706","6,546"
35~39세,"74,108","37,110","36,998"
35 세,"13,000","6,529","6,471"
36 세,"14,345","7,216","7,129"
37 세,"15,303","7,764","7,539"
38 세,"15,750","7,807","7,943"
39 세,"15,710","7,794","7,916"
40~44세,"73,342","36,042","37,300"
40 세,"15,663","7,621","8,042"
41 세,"13,496","6,684","6,812"
42 세,"14,738","7,184","7,554"
43 세,"14,599","7,274","7,325"
44 세,"14,846","7,279","7,567"
45~49세,"86,968","43,307","43,661"
45 세,"16,071","7,949","8,122"
46 세,"17,145","8,224","8,921"
47 세,"17,330","8,627","8,703"
48 세,"18,382","9,262","9,120"
49 세,"18,040","9,245","8,795"
50~54세,"79,762","39,883","39,879"
50 세,"17,471","8,690","8,781"
51 세,"16,868","8,386","8,482"
52 세,"15,807","7,736","8,071"
53 세,"14,380","7,526","6,854"
54 세,"15,236","7,545","7,691"
55~59세,"76,646","37,942","38,704"
55 세,"15,047","7,498","7,549"
56 세,"14,420","7,215","7,205"
57 세,"15,268","7,645","7,623"
58 세,"15,927","7,686","8,241"
59 세,"15,984","7,898","8,086"
60~64세,"64,980","32,243","32,737"
60 세,"14,572","7,206","7,366"
61 세,"13,539","6,852","6,687"
62 세,"13,143","6,632","6,511"
63 세,"11,749","5,762","5,987"
64 세,"11,977","5,791","6,186"
65~69세,"41,534","20,063","21,471"
65 세,"10,137","4,985","5,152"
66 세,"8,660","4,149","4,511"
67 세,"9,385","4,559","4,826"
68 세,"6,299","2,973","3,326"
69 세,"7,053","3,397","3,656"
70~74세,"32,051","14,682","17,369"
70 세,"7,075","3,318","3,757"
71 세,"7,022","3,270","3,752"
72 세,"7,202","3,293","3,909"
73 세,"5,711","2,539","3,172"
74 세,"5,041","2,262","2,779"
75~79세,"24,276","10,710","13,566"
75 세,"5,042","2,275","2,767"
76 세,"4,914","2,157","2,757"
77 세,"5,712","2,549","3,163"
78 세,"4,605","2,068","2,537"
79 세,"4,003","1,661","2,342"
80~84세,"15,817","6,178","9,639"
80 세,"3,899","1,596","2,303"
81 세,"3,469","1,419","2,050"
82 세,"3,116","1,200","1,916"
83 세,"2,793","1,072","1,721"
84 세,"2,540",891,"1,649"
85~89세,"7,773","2,374","5,399"
85 세,"2,174",722,"1,452"
86 세,"1,703",535,"1,168"
87 세,"1,545",453,"1,092"
88 세,"1,233",358,875
89 세,"1,118",306,812
90~94세,"3,100",763,"2,337"
90 세,"1,000",285,715
91 세,770,193,577
92 세,609,149,460
93 세,395,89,306
94 세,326,47,279
95~99세,821,210,611
95 세,240,58,182
96 세,214,55,159
97 세,168,40,128
98 세,110,30,80
99 세,89,27,62
100세이상,435,115,320
