,계,남,여
계,"954,347","472,506","481,841"
0~4세,"34,482","17,623","16,859"
0 세,"5,817","2,949","2,868"
1 세,"6,313","3,287","3,026"
2 세,"7,008","3,579","3,429"
3 세,"7,698","3,953","3,745"
4 세,"7,646","3,855","3,791"
5~9세,"41,184","21,201","19,983"
5 세,"7,789","3,949","3,840"
6 세,"8,450","4,436","4,014"
7 세,"8,403","4,389","4,014"
8 세,"8,506","4,323","4,183"
9 세,"8,036","4,104","3,932"
10~14세,"43,016","22,127","20,889"
10 세,"8,446","4,320","4,126"
11 세,"8,995","4,655","4,340"
12 세,"8,381","4,301","4,080"
13 세,"8,066","4,136","3,930"
14 세,"9,128","4,715","4,413"
15~19세,"52,395","26,933","25,462"
15 세,"9,353","4,873","4,480"
16 세,"9,186","4,736","4,450"
17 세,"10,410","5,358","5,052"
18 세,"12,060","6,186","5,874"
19 세,"11,386","5,780","5,606"
20~24세,"63,454","32,439","31,015"
20 세,"11,717","6,068","5,649"
21 세,"12,240","6,300","5,940"
22 세,"12,484","6,383","6,101"
23 세,"13,117","6,668","6,449"
24 세,"13,896","7,020","6,876"
25~29세,"70,965","36,402","34,563"
25 세,"14,135","7,304","6,831"
26 세,"14,895","7,635","7,260"
27 세,"14,837","7,586","7,251"
28 세,"13,457","6,927","6,530"
29 세,"13,641","6,950","6,691"
30~34세,"66,793","33,785","33,008"
30 세,"13,470","6,902","6,568"
31 세,"13,205","6,636","6,569"
32 세,"13,003","6,599","6,404"
33 세,"13,661","6,887","6,774"
34 세,"13,454","6,761","6,693"
35~39세,"78,798","39,370","39,428"
35 세,"14,862","7,514","7,348"
36 세,"15,841","8,026","7,815"
37 세,"16,171","8,035","8,136"
38 세,"16,000","7,972","8,028"
39 세,"15,924","7,823","8,101"
40~44세,"74,775","36,905","37,870"
40 세,"13,722","6,816","6,906"
41 세,"14,982","7,304","7,678"
42 세,"14,764","7,365","7,399"
43 세,"15,011","7,362","7,649"
44 세,"16,296","8,058","8,238"
45~49세,"90,078","44,778","45,300"
45 세,"17,390","8,318","9,072"
46 세,"17,677","8,807","8,870"
47 세,"18,754","9,404","9,350"
48 세,"18,447","9,425","9,022"
49 세,"17,810","8,824","8,986"
50~54세,"79,030","39,585","39,445"
50 세,"17,272","8,593","8,679"
51 세,"16,148","7,914","8,234"
52 세,"14,669","7,668","7,001"
53 세,"15,568","7,714","7,854"
54 세,"15,373","7,696","7,677"
55~59세,"77,530","38,412","39,118"
55 세,"14,688","7,393","7,295"
56 세,"15,525","7,806","7,719"
57 세,"16,221","7,847","8,374"
58 세,"16,278","8,042","8,236"
59 세,"14,818","7,324","7,494"
60~64세,"61,747","30,629","31,118"
60 세,"13,802","6,971","6,831"
61 세,"13,433","6,816","6,617"
62 세,"11,957","5,847","6,110"
63 세,"12,208","5,920","6,288"
64 세,"10,347","5,075","5,272"
65~69세,"39,255","18,860","20,395"
65 세,"8,817","4,246","4,571"
66 세,"9,540","4,666","4,874"
67 세,"6,440","3,053","3,387"
68 세,"7,183","3,472","3,711"
69 세,"7,275","3,423","3,852"
70~74세,"30,734","14,048","16,686"
70 세,"7,181","3,361","3,820"
71 세,"7,376","3,393","3,983"
72 세,"5,848","2,615","3,233"
73 세,"5,166","2,332","2,834"
74 세,"5,163","2,347","2,816"
75~79세,"23,989","10,528","13,461"
75 세,"5,049","2,239","2,810"
76 세,"5,930","2,681","3,249"
77 세,"4,801","2,197","2,604"
78 세,"4,147","1,737","2,410"
79 세,"4,062","1,674","2,388"
80~84세,"14,915","5,734","9,181"
80 세,"3,638","1,523","2,115"
81 세,"3,248","1,277","1,971"
82 세,"2,970","1,168","1,802"
83 세,"2,703",973,"1,730"
84 세,"2,356",793,"1,563"
85~89세,"7,248","2,167","5,081"
85 세,"1,825",585,"1,240"
86 세,"1,672",518,"1,154"
87 세,"1,380",400,980
88 세,"1,239",338,901
89 세,"1,132",326,806
90~94세,"2,754",661,"2,093"
90 세,887,235,652
91 세,711,180,531
92 세,469,107,362
93 세,390,66,324
94 세,297,73,224
95~99세,794,221,573
95 세,274,74,200
96 세,219,55,164
97 세,133,37,96
98 세,101,29,72
99 세,67,26,41
100세이상,411,98,313
