만나이,지역거주기간,향후거주의향,정주의식,거주지소속감,지역생활만족도,주거만족도,월평균가구소득,부채유무,삶의만족도,대중교통만족도,공공편의시설만족도,의료시설만족도,year
69,15.0,2.0,3,3,2,2,2.0,2.0,2,1.75,2.0,3.0,2017
65,28.0,1.0,3,3,3,3,5.0,2.0,3,3.0,3.0,4.0,2017
72,1.0,2.0,4,1,1,1,5.0,2.0,1,3.0,1.0,1.0,2017
68,35.0,2.0,3,3,2,2,5.0,2.0,4,1.75,1.0,3.0,2017
70,17.0,1.0,3,1,3,2,4.0,2.0,3,3.0,2.0,3.5,2017
66,10.0,2.0,2,2,2,3,6.0,2.0,3,3.0,2.0,2.0,2017
71,25.0,2.0,3,3,2,5,4.0,1.0,4,3.25,4.0,1.5,2017
65,20.0,2.0,4,2,3,3,5.0,2.0,3,1.5,1.5,2.5,2017
68,10.0,2.0,4,2,5,3,4.0,1.0,3,3.0,3.0,3.0,2017
78,10.0,1.0,3,3,2,2,1.0,2.0,3,1.0,2.0,2.0,2017
89,25.0,1.0,3,4,1,3,1.0,2.0,3,2.5,2.0,3.0,2017
73,50.0,2.0,3,4,1,2,2.0,2.0,4,1.0,1.0,4.0,2017
75,5.0,4.0,3,3,2,2,3.0,2.0,2,2.5,2.0,2.0,2017
69,22.0,5.0,4,2,3,1,2.0,1.0,3,3.0,1.0,2.0,2017
76,4.0,4.0,3,2,2,2,3.0,2.0,2,2.75,1.0,2.0,2017
72,11.0,4.0,3,3,2,2,2.0,2.0,2,2.0,2.0,3.0,2017
69,30.0,1.0,3,3,2,4,2.0,2.0,2,3.5,2.0,2.5,2017
67,20.0,2.0,4,3,2,2,2.0,2.0,3,3.0,2.0,2.0,2017
79,5.0,2.0,3,3,3,2,3.0,2.0,3,2.25,1.0,2.0,2017
89,10.0,1.0,3,4,1,1,4.0,2.0,1,3.0,2.0,2.0,2017
75,20.0,3.0,3,2,3,3,1.0,2.0,3,2.5,3.0,1.5,2017
68,5.0,2.0,3,3,2,2,3.0,2.0,2,3.25,1.0,2.0,2017
