만나이,지역거주기간,향후거주의향,정주의식,거주지소속감,지역생활만족도,주거만족도,월평균가구소득,부채유무,삶의만족도,대중교통만족도,공공편의시설만족도,의료시설만족도,year
67,10.0,2.0,4,2,4,3,1.0,1.0,3,2.0,2.0,3.0,2019
67,18.0,1.0,3,3,2,2,2.0,2.0,2,1.5,2.0,3.0,2019
71,40.0,1.0,3,3,1,2,1.0,2.0,3,2.0,1.0,1.0,2019
75,20.0,1.0,3,4,1,1,1.0,2.0,4,2.5,1.0,1.0,2019
72,11.0,1.0,3,3,2,2,3.0,2.0,1,2.5,2.0,3.5,2019
75,40.0,2.0,4,3,3,3,8.0,1.0,3,2.75,3.0,3.0,2019
70,40.0,2.0,4,2,4,1,2.0,2.0,2,2.5,1.0,3.0,2019
69,17.0,4.0,4,3,4,4,2.0,1.0,4,1.75,3.0,3.0,2019
81,10.0,4.0,4,3,5,1,1.0,2.0,4,2.25,1.0,2.0,2019
73,10.0,2.0,3,4,1,2,2.0,2.0,2,2.0,1.0,2.0,2019
82,30.0,1.0,3,3,2,1,2.0,2.0,3,3.75,2.0,4.0,2019
67,8.0,2.0,4,2,3,3,4.0,2.0,4,2.25,3.0,1.0,2019
71,35.0,2.0,3,3,3,3,1.0,2.0,4,2.25,3.0,2.0,2019
66,10.0,2.0,3,3,3,3,2.0,1.0,4,2.25,2.0,2.5,2019
66,60.0,1.0,3,3,2,2,3.0,2.0,3,2.25,3.0,2.0,2019
76,20.0,1.0,3,4,2,3,1.0,2.0,3,2.0,1.0,2.0,2019
66,20.0,2.0,3,3,3,4,1.0,2.0,4,2.75,1.0,3.0,2019
80,60.0,1.0,3,3,3,3,1.0,2.0,4,2.5,2.0,2.5,2019
81,30.0,1.0,3,3,3,4,1.0,2.0,4,2.75,3.0,2.5,2019
78,9.0,1.0,3,4,1,1,5.0,2.0,2,2.25,1.0,2.5,2019
74,50.0,1.0,3,4,2,2,1.0,2.0,3,2.0,1.0,2.5,2019
73,18.0,2.0,3,3,2,1,4.0,2.0,3,1.5,1.5,2.0,2019
65,5.0,1.0,3,3,3,3,2.0,1.0,3,2.0,2.0,4.0,2019
82,30.0,1.0,3,3,2,2,1.0,2.0,3,2.5,1.0,2.0,2019
66,3.0,2.0,4,3,3,2,7.0,2.0,2,2.25,2.5,2.0,2019
74,45.0,2.0,3,3,3,3,2.0,2.0,4,2.5,2.0,2.5,2019
74,40.0,1.0,3,4,2,2,8.0,2.0,2,2.25,1.0,2.0,2019
77,30.0,2.0,3,2,1,1,1.0,1.0,2,1.0,1.0,2.5,2019
67,40.0,1.0,3,4,2,4,2.0,1.0,5,2.75,2.0,3.0,2019
73,58.0,1.0,3,4,1,2,3.0,2.0,4,2.75,3.0,4.0,2019
83,60.0,1.0,3,4,2,3,2.0,2.0,3,2.25,2.0,1.0,2019
65,14.0,2.0,4,3,4,1,2.0,1.0,4,3.0,3.0,1.0,2019
70,10.0,2.0,3,2,4,4,1.0,2.0,3,2.0,1.0,3.0,2019
69,30.0,2.0,3,3,2,4,2.0,1.0,4,3.0,2.0,1.0,2019
66,38.0,1.0,3,4,1,1,5.0,1.0,3,2.0,2.0,3.0,2019
65,60.0,1.0,1,4,1,1,3.0,1.0,2,3.5,2.0,1.0,2019
77,55.0,2.0,3,4,3,2,1.0,2.0,3,3.25,3.0,3.0,2019
73,1.0,5.0,4,2,3,4,2.0,2.0,2,2.0,3.0,2.0,2019
78,40.0,1.0,3,4,1,1,2.0,2.0,3,1.0,3.0,3.0,2019
66,8.0,2.0,3,3,2,1,3.0,2.0,2,3.0,1.0,1.0,2019
66,15.0,2.0,3,3,2,2,7.0,2.0,3,2.5,2.0,2.0,2019
73,30.0,1.0,3,4,1,1,6.0,2.0,1,3.0,1.0,4.0,2019
79,45.0,1.0,3,4,1,2,2.0,2.0,2,2.25,1.0,1.5,2019
81,30.0,1.0,3,3,2,1,3.0,2.0,3,1.0,1.0,1.5,2019
69,38.0,4.0,3,3,2,2,3.0,2.0,1,2.5,2.0,1.0,2019
67,30.0,2.0,3,3,2,2,8.0,1.0,2,3.25,3.0,4.0,2019
65,65.0,3.0,1,4,1,1,3.0,2.0,1,2.0,1.0,1.0,2019
65,20.0,2.0,3,3,2,3,5.0,1.0,3,3.0,1.0,2.0,2019
68,3.0,1.0,3,3,2,2,1.0,2.0,3,3.0,1.0,1.0,2019
65,25.0,1.0,3,4,1,2,4.0,1.0,3,2.5,1.0,2.0,2019
67,1.0,2.0,3,1,1,2,4.0,2.0,2,3.0,2.0,4.0,2019
74,20.0,1.0,3,3,1,3,2.0,2.0,2,3.25,1.0,2.0,2019
73,30.0,1.0,3,3,2,1,2.0,1.0,3,2.75,3.0,3.0,2019
75,7.0,1.0,3,4,1,4,2.0,2.0,3,2.5,1.0,1.5,2019
68,35.0,1.0,3,3,1,2,1.0,2.0,3,2.5,1.0,2.0,2019
67,9.0,1.0,4,2,2,2,1.0,2.0,3,2.5,1.0,1.5,2019
82,75.0,1.0,3,4,1,3,1.0,2.0,3,2.5,1.0,1.0,2019
83,40.0,3.0,3,3,1,1,3.0,2.0,2,2.75,1.0,1.0,2019
65,10.0,1.0,4,2,1,1,4.0,1.0,3,2.25,1.0,2.0,2019
85,15.0,1.0,3,4,1,4,1.0,1.0,4,3.0,1.0,1.0,2019
79,8.0,1.0,3,3,3,3,1.0,1.0,2,1.5,1.0,1.0,2019
71,6.0,1.0,3,3,1,1,4.0,2.0,3,2.5,1.0,1.0,2019
66,7.0,1.0,3,4,1,2,2.0,1.0,3,3.0,1.0,1.0,2019
67,18.0,1.0,3,3,2,2,8.0,1.0,2,3.0,2.0,3.0,2019
72,20.0,1.0,3,3,2,3,3.0,2.0,3,1.0,4.0,2.0,2019
85,15.0,1.0,3,3,2,1,1.0,2.0,2,1.75,3.0,2.5,2019
80,10.0,1.0,1,4,2,2,1.0,2.0,2,2.0,1.0,3.0,2019
