만나이,지역거주기간,향후거주의향,정주의식,거주지소속감,지역생활만족도,주거만족도,월평균가구소득,부채유무,삶의만족도,대중교통만족도,공원이용만족도,year
85,55,1,3,2,4,3,2.0,1.0,4,3.2,3.0,2023
69,45,2,3,2,5,2,8.0,1.0,5,1.0,3.0,2023
68,50,4,3,2,5,3,2.0,2.0,0,3.0,2.0,2023
79,4,2,3,2,5,2,2.0,2.0,3,1.6,1.0,2023
66,4,3,4,2,6,3,3.0,2.0,6,1.6,2.0,2023
83,15,2,3,2,9,2,4.0,2.0,10,2.2,2.0,2023
66,30,1,3,1,5,3,2.0,2.0,9,2.0,3.0,2023
72,72,1,3,1,9,1,1.0,2.0,8,1.0,1.0,2023
67,3,3,4,3,3,3,8.0,2.0,5,2.0,2.0,2023
76,40,1,3,1,9,1,2.0,1.0,10,1.6,1.0,2023
76,40,1,3,3,7,4,6.0,1.0,6,3.0,2.0,2023
82,35,1,3,2,8,3,2.0,2.0,8,3.2,2.0,2023
73,43,1,3,2,7,3,3.0,1.0,8,2.2,2.0,2023
68,57,2,3,2,3,3,5.0,1.0,8,3.0,2.0,2023
80,40,1,3,2,5,3,1.0,2.0,5,2.8,1.0,2023
78,55,1,3,1,9,2,1.0,2.0,1,2.6,3.0,2023
85,13,1,3,1,10,1,2.0,2.0,10,2.6,2.0,2023
73,15,1,3,2,9,1,2.0,1.0,8,2.6,3.0,2023
71,1,3,4,3,7,1,6.0,1.0,7,2.6,1.0,2023
80,50,1,3,1,7,3,3.0,2.0,8,2.2,1.0,2023
68,11,1,3,1,6,2,3.0,1.0,7,2.6,2.0,2023
68,35,1,3,2,7,1,6.0,1.0,7,2.6,2.0,2023
69,5,1,3,2,5,2,1.0,1.0,5,3.0,1.0,2023
71,40,1,3,2,8,1,1.0,1.0,7,2.8,3.0,2023
69,20,1,4,3,7,3,2.0,2.0,7,2.6,2.0,2023
78,20,1,3,1,6,1,4.0,1.0,7,2.6,1.0,2023
66,22,2,3,2,5,3,8.0,1.0,5,2.4,2.0,2023
69,3,2,4,2,5,3,2.0,1.0,5,3.0,4.0,2023
74,38,4,4,3,4,3,2.0,2.0,3,3.2,3.0,2023
65,11,1,3,1,10,1,5.0,2.0,10,1.4,2.0,2023
69,40,1,3,1,6,1,2.0,2.0,8,2.8,5.0,2023
83,6,1,3,2,7,3,2.0,1.0,7,3.0,4.0,2023
66,25,2,4,2,4,2,3.0,1.0,4,3.0,2.0,2023
71,22,2,3,3,5,3,3.0,1.0,5,2.8,3.0,2023
77,11,2,3,2,4,2,1.0,1.0,4,4.0,2.0,2023
66,47,1,3,1,9,1,3.0,2.0,9,2.2,1.0,2023
76,10,2,4,2,4,2,2.0,1.0,4,4.0,4.0,2023
65,24,3,3,2,5,3,2.0,1.0,5,3.0,3.0,2023
68,20,1,3,2,6,2,2.0,1.0,5,3.0,2.0,2023
65,25,1,1,1,5,3,3.0,1.0,3,3.0,1.0,2023
71,45,2,3,1,7,3,2.0,2.0,5,3.0,1.0,2023
70,27,2,3,2,5,2,1.0,2.0,5,2.0,1.0,2023
76,5,1,3,2,8,2,1.0,1.0,8,2.8,2.0,2023
80,20,2,3,4,5,4,1.0,2.0,3,3.0,3.0,2023
71,30,1,3,1,6,3,1.0,1.0,6,3.0,3.0,2023
74,10,1,3,3,9,2,1.0,1.0,9,2.8,1.0,2023
69,46,2,3,1,6,2,4.0,1.0,6,3.8,4.0,2023
82,15,1,3,2,8,1,1.0,2.0,8,3.2,3.0,2023
71,7,3,3,2,5,1,3.0,1.0,10,3.0,1.0,2023
74,3,4,4,2,2,5,5.0,1.0,3,3.0,3.0,2023
75,43,1,3,2,5,2,2.0,2.0,6,3.2,1.0,2023
81,6,1,4,3,5,2,2.0,2.0,5,3.0,2.0,2023
70,50,2,3,3,6,3,7.0,2.0,5,3.0,3.0,2023
65,61,1,1,2,5,2,3.0,2.0,5,2.6,2.0,2023
71,30,2,3,2,7,2,2.0,2.0,5,3.4,1.0,2023
70,33,2,3,2,7,3,5.0,2.0,5,3.0,2.0,2023
70,7,2,4,3,5,3,1.0,2.0,6,2.8,1.0,2023
65,40,1,3,2,6,1,2.0,2.0,4,3.2,1.0,2023
78,40,1,3,2,7,2,4.0,2.0,6,3.0,1.0,2023
76,40,1,3,1,6,1,1.0,2.0,6,2.4,2.0,2023
85,30,1,3,2,5,1,1.0,2.0,5,3.0,2.0,2023
71,40,1,3,1,8,3,6.0,2.0,7,2.4,1.0,2023
68,45,1,3,2,5,3,6.0,1.0,5,3.0,1.0,2023
67,25,2,3,2,5,3,6.0,2.0,6,3.4,1.0,2023
69,35,1,3,1,10,1,4.0,1.0,10,1.8,1.0,2023
75,7,1,3,1,5,1,2.0,2.0,5,3.0,3.0,2023
