만나이,지역거주기간,향후거주의향,정주의식,거주지소속감,거주지만족도,월평균가구소득,부채유무,삶의만족도,year
74,40,3,3,3,3.0,1.0,2.0,3,2023
68,20,2,3,2,3.0,1.0,2.0,3,2023
67,44,2,3,3,2.0,2.0,2.0,2,2023
70,4,5,4,2,4.0,8.0,1.0,4,2023
76,13,2,3,3,3.0,3.0,2.0,4,2023
66,30,2,3,3,2.0,2.0,2.0,3,2023
82,49,2,3,4,2.0,1.0,1.0,3,2023
70,50,1,3,4,2.0,1.0,2.0,3,2023
67,46,2,3,4,2.0,6.0,1.0,3,2023
67,42,2,3,3,3.0,3.0,1.0,3,2023
85,60,2,3,4,1.0,1.0,2.0,3,2023
69,28,2,3,3,1.0,8.0,1.0,3,2023
71,6,2,3,2,2.0,6.0,2.0,2,2023
69,30,2,3,3,2.0,1.0,2.0,3,2023
65,30,4,3,3,3.0,5.0,1.0,3,2023
80,30,1,3,2,3.0,2.0,2.0,2,2023
77,53,2,3,3,3.0,1.0,1.0,4,2023
67,8,3,3,3,1.0,4.0,2.0,2,2023
79,1,2,4,3,1.0,6.0,2.0,3,2023
70,7,3,3,2,2.0,8.0,1.0,3,2023
69,8,2,3,2,1.0,4.0,2.0,1,2023
66,6,2,3,3,1.0,7.0,1.0,1,2023
67,32,2,3,2,3.0,7.0,2.0,3,2023
74,7,2,3,3,3.0,3.0,2.0,3,2023
67,7,2,3,3,2.0,7.0,2.0,1,2023
72,40,3,2,3,1.0,4.0,1.0,3,2023
83,83,1,1,4,1.0,1.0,2.0,2,2023
65,50,3,4,3,3.0,5.0,1.0,3,2023
83,25,2,3,4,5.0,1.0,2.0,3,2023
69,48,2,3,3,3.0,1.0,2.0,3,2023
84,50,1,3,2,3.0,1.0,2.0,3,2023
71,35,3,4,3,3.0,1.0,1.0,4,2023
79,60,1,3,4,3.0,1.0,1.0,3,2023
79,50,2,3,3,3.0,2.0,2.0,2,2023
67,10,4,3,2,3.0,1.0,1.0,5,2023
79,52,1,3,3,3.0,4.0,2.0,3,2023
69,69,1,1,4,2.0,6.0,1.0,1,2023
73,45,4,3,3,4.0,2.0,1.0,3,2023
69,3,4,4,2,3.0,1.0,1.0,3,2023
66,23,2,3,3,2.0,6.0,2.0,3,2023
76,40,2,3,2,3.0,1.0,2.0,3,2023
76,15,2,3,3,3.0,1.0,2.0,3,2023
71,40,3,3,3,3.0,1.0,2.0,3,2023
81,50,2,3,2,3.0,1.0,2.0,3,2023
85,35,2,3,3,3.0,1.0,2.0,3,2023
69,15,2,3,3,3.0,2.0,1.0,3,2023
72,46,1,3,3,3.0,2.0,2.0,3,2023
68,40,4,3,2,4.0,1.0,2.0,3,2023
77,45,1,3,4,3.0,2.0,2.0,3,2023
69,38,2,3,3,3.0,2.0,1.0,3,2023
67,40,2,3,4,4.0,4.0,1.0,3,2023
72,50,2,3,3,3.0,2.0,2.0,3,2023
69,42,2,3,3,3.0,2.0,2.0,3,2023
74,35,2,4,2,3.0,1.0,2.0,3,2023
85,20,5,3,3,2.0,1.0,2.0,3,2023
65,25,2,3,2,3.0,2.0,2.0,3,2023
65,45,2,3,3,2.0,5.0,2.0,3,2023
74,40,3,2,2,3.0,3.0,2.0,3,2023
66,40,2,3,3,1.0,5.0,2.0,3,2023
83,55,2,3,3,3.0,1.0,2.0,3,2023
65,46,2,3,3,3.0,3.0,2.0,3,2023
70,50,2,3,3,3.0,1.0,2.0,3,2023
65,40,2,3,3,3.0,4.0,1.0,3,2023
66,40,2,4,2,4.0,1.0,2.0,3,2023
85,24,2,3,3,3.0,1.0,2.0,3,2023
78,30,2,4,3,3.0,1.0,2.0,3,2023
79,36,2,3,4,2.0,2.0,2.0,2,2023
82,23,2,3,3,3.0,1.0,1.0,3,2023
65,32,4,4,2,4.0,8.0,1.0,3,2023
76,22,2,3,3,4.0,4.0,2.0,3,2023
66,19,1,3,3,1.0,3.0,1.0,1,2023
85,33,2,3,3,2.0,3.0,2.0,2,2023
79,44,2,3,3,3.0,1.0,1.0,3,2023
66,38,1,3,3,3.0,2.0,2.0,2,2023
71,50,1,3,3,2.0,2.0,2.0,3,2023
85,35,1,3,4,2.0,1.0,2.0,3,2023
84,30,1,3,2,1.0,1.0,2.0,1,2023
77,40,1,3,3,4.0,1.0,2.0,1,2023
68,45,1,3,4,1.0,4.0,2.0,1,2023
75,10,2,3,3,2.0,1.0,2.0,3,2023
85,12,1,3,3,2.0,1.0,2.0,3,2023
85,40,1,3,3,2.0,1.0,2.0,3,2023
68,40,1,3,3,3.0,2.0,2.0,2,2023
74,23,1,1,4,1.0,1.0,2.0,1,2023
81,30,1,3,4,2.0,2.0,1.0,2,2023
69,40,1,3,4,1.0,1.0,2.0,3,2023
68,30,1,3,2,3.0,2.0,2.0,3,2023
66,3,1,3,1,3.0,1.0,2.0,3,2023
71,13,1,3,3,4.0,1.0,2.0,3,2023
73,10,3,3,3,2.0,1.0,2.0,2,2023
67,19,1,4,1,2.0,3.0,2.0,1,2023
76,40,1,3,1,2.0,1.0,2.0,3,2023
75,50,1,3,3,3.0,1.0,2.0,2,2023
85,40,1,3,3,2.0,1.0,2.0,2,2023
66,23,1,3,2,3.0,2.0,1.0,3,2023
71,40,1,3,2,2.0,1.0,2.0,3,2023
85,50,1,3,2,2.0,1.0,2.0,3,2023
77,17,1,4,3,3.0,1.0,2.0,3,2023
83,30,1,3,2,1.0,1.0,2.0,2,2023
65,45,1,3,2,2.0,1.0,2.0,3,2023
69,40,1,2,3,2.0,1.0,2.0,3,2023
67,8,2,4,2,4.0,2.0,2.0,3,2023
66,24,4,4,2,4.0,4.0,1.0,3,2023
76,49,2,3,3,4.0,3.0,1.0,5,2023
68,30,2,3,3,4.0,3.0,1.0,3,2023
75,42,1,3,3,4.0,3.0,2.0,3,2023
85,30,2,3,3,3.0,1.0,2.0,3,2023
72,30,1,3,3,3.0,4.0,2.0,2,2023
69,35,1,3,3,3.0,3.0,1.0,3,2023
75,50,3,3,3,4.0,1.0,2.0,3,2023
71,45,1,3,4,3.0,2.0,1.0,1,2023
75,50,1,3,3,4.0,4.0,1.0,3,2023
71,40,2,3,3,2.0,1.0,1.0,2,2023
65,20,2,3,3,4.0,2.0,2.0,3,2023
85,30,2,3,3,3.0,1.0,2.0,3,2023
71,45,2,3,3,2.0,5.0,1.0,3,2023
72,27,1,3,3,3.0,1.0,1.0,2,2023
78,40,2,3,3,2.0,2.0,2.0,3,2023
66,5,2,4,2,3.0,6.0,1.0,3,2023
80,50,1,3,4,3.0,1.0,2.0,2,2023
81,50,2,3,4,2.0,1.0,2.0,2,2023
74,20,3,3,3,1.0,3.0,2.0,3,2023
74,20,2,3,3,3.0,1.0,2.0,3,2023
77,40,3,3,3,3.0,1.0,2.0,3,2023
66,40,2,3,4,2.0,3.0,2.0,3,2023
85,40,2,3,3,3.0,1.0,2.0,4,2023
75,17,3,3,3,3.0,1.0,1.0,3,2023
67,40,2,3,4,2.0,1.0,2.0,2,2023
68,45,2,3,3,3.0,1.0,2.0,3,2023
75,7,2,3,4,3.0,1.0,1.0,3,2023
69,30,2,3,2,2.0,2.0,2.0,3,2023
74,70,2,3,4,3.0,3.0,2.0,3,2023
85,50,2,3,3,2.0,1.0,2.0,2,2023
72,30,3,3,3,3.0,1.0,2.0,3,2023
79,49,2,4,2,2.0,1.0,2.0,3,2023
85,20,1,3,3,2.0,1.0,2.0,2,2023
71,50,2,3,3,3.0,3.0,2.0,2,2023
68,38,1,3,3,2.0,1.0,2.0,2,2023
69,40,1,3,3,2.0,1.0,2.0,2,2023
75,40,2,3,3,4.0,1.0,2.0,3,2023
83,10,2,3,3,2.0,1.0,2.0,2,2023
82,60,2,3,3,3.0,1.0,2.0,3,2023
68,32,3,3,2,3.0,4.0,2.0,2,2023
76,33,3,3,3,3.0,4.0,2.0,3,2023
75,48,1,3,4,2.0,4.0,1.0,1,2023
80,40,2,3,2,3.0,2.0,2.0,3,2023
68,40,2,3,3,2.0,5.0,1.0,3,2023
65,40,2,3,3,4.0,4.0,1.0,3,2023
69,50,1,3,4,1.0,5.0,2.0,3,2023
66,5,2,3,3,3.0,6.0,2.0,3,2023
66,25,2,3,3,2.0,5.0,1.0,2,2023
75,20,1,3,3,1.0,2.0,2.0,1,2023
68,37,1,3,3,2.0,3.0,2.0,3,2023
66,36,1,3,4,2.0,4.0,2.0,3,2023
66,36,3,4,2,1.0,3.0,2.0,3,2023
74,20,2,3,3,3.0,1.0,1.0,3,2023
65,30,3,3,3,2.0,2.0,1.0,3,2023
66,13,2,3,3,2.0,4.0,1.0,3,2023
72,40,2,3,3,1.0,6.0,2.0,2,2023
66,40,1,3,4,2.0,6.0,2.0,1,2023
70,20,2,3,3,2.0,8.0,2.0,1,2023
72,31,1,3,3,1.0,3.0,2.0,1,2023
76,40,1,3,4,1.0,2.0,1.0,2,2023
76,48,1,3,3,1.0,3.0,2.0,2,2023
70,6,1,3,3,3.0,5.0,1.0,3,2023
75,50,2,3,3,3.0,7.0,2.0,2,2023
85,30,2,3,3,3.0,3.0,2.0,3,2023
65,30,1,3,3,3.0,3.0,1.0,1,2023
85,50,2,3,3,3.0,1.0,2.0,3,2023
65,65,2,3,3,3.0,7.0,1.0,2,2023
68,39,1,3,3,4.0,2.0,2.0,3,2023
81,50,2,3,3,4.0,2.0,1.0,3,2023
67,38,2,4,2,3.0,6.0,1.0,3,2023
75,15,2,3,3,3.0,1.0,2.0,3,2023
