만나이,지역거주기간,향후거주의향,정주의식,거주지소속감,거주지만족도,월평균가구소득,부채유무,삶의만족도,year
78,1.0,1.0,4,3,3.5,1.0,2.0,3,2017
67,20.0,3.0,4,3,3.0,1.0,1.0,3,2017
77,10.0,3.0,3,3,2.5,2.0,2.0,3,2017
70,30.0,3.0,4,2,2.0,2.0,2.0,3,2017
90,23.0,1.0,3,2,2.5,2.0,2.0,3,2017
83,6.0,2.0,4,3,1.5,2.0,2.0,3,2017
67,22.0,2.0,3,3,3.0,3.0,1.0,3,2017
72,40.0,1.0,3,3,3.0,1.0,2.0,3,2017
84,9.0,2.0,3,3,2.5,1.0,2.0,3,2017
90,10.0,1.0,3,4,1.5,2.0,2.0,3,2017
83,26.0,2.0,4,3,2.5,1.0,2.0,4,2017
77,21.0,1.0,3,2,3.0,1.0,2.0,5,2017
74,23.0,2.0,3,3,3.5,2.0,1.0,3,2017
85,2.0,1.0,3,3,2.0,2.0,2.0,3,2017
66,22.0,3.0,3,3,2.0,6.0,1.0,1,2017
71,22.0,3.0,3,3,1.0,3.0,2.0,1,2017
86,15.0,2.0,3,3,2.0,1.0,2.0,2,2017
76,25.0,1.0,3,3,2.5,2.0,2.0,4,2017
65,29.0,2.0,3,3,2.0,2.0,2.0,3,2017
75,15.0,2.0,1,3,1.5,2.0,2.0,3,2017
71,21.0,5.0,3,3,1.0,2.0,2.0,3,2017
71,20.0,2.0,3,3,3.0,2.0,2.0,3,2017
73,3.0,2.0,4,2,2.5,2.0,2.0,4,2017
70,22.0,3.0,3,3,1.0,4.0,2.0,3,2017
67,10.0,1.0,4,3,2.0,3.0,2.0,5,2017
70,5.0,2.0,3,4,3.5,2.0,1.0,2,2017
65,20.0,4.0,4,4,1.0,2.0,1.0,4,2017
72,20.0,2.0,3,2,3.0,1.0,2.0,3,2017
94,10.0,2.0,3,2,3.0,1.0,2.0,3,2017
81,20.0,4.0,3,3,1.0,3.0,1.0,4,2017
67,24.0,2.0,3,2,3.0,3.0,2.0,3,2017
65,26.0,3.0,3,1,3.0,2.0,2.0,3,2017
71,23.0,2.0,4,4,2.0,3.0,2.0,3,2017
65,20.0,1.0,3,2,2.5,7.0,1.0,3,2017
84,10.0,1.0,3,3,1.0,3.0,2.0,3,2017
68,24.0,2.0,3,3,2.5,3.0,2.0,3,2017
77,23.0,1.0,3,3,2.5,3.0,2.0,3,2017
66,7.0,2.0,3,3,2.5,2.0,2.0,3,2017
75,14.0,1.0,3,3,2.0,3.0,2.0,2,2017
65,15.0,1.0,3,3,1.5,8.0,2.0,2,2017
74,20.0,1.0,3,3,2.0,7.0,2.0,2,2017
83,20.0,5.0,3,2,2.0,2.0,2.0,2,2017
69,10.0,1.0,3,4,1.0,2.0,2.0,4,2017
80,20.0,2.0,3,3,1.5,5.0,2.0,2,2017
70,20.0,1.0,3,3,1.5,2.0,2.0,1,2017
